*    Row   *   EventNo * ParticleI *    Energy * Direction * Direction * Direction * Position_ * Position_ * Position_ *  costheta *     theta *       phi *
*      124 *       124 *      2112 * 0.5291266 * 0.3878768 * -0.675621 * 0.6269671 * 98.885893 *       750 * 19.481559 * 0.6756210 * 47.497603 * 58.256752 *
*      125 *       125 *      2112 * 1.5666782 * 0.8838439 * 0.3570479 * -0.302219 * 159.24110 *       750 * -614.5864 * -0.357047 * 110.91901 * 341.12251 *
*      126 *       126 *      2112 * 0.0005270 * 0.0029557 * -0.482814 * -0.875717 * 49.350234 *       750 * -638.6659 * 0.4828143 * 61.130625 * 270.19338 *
*      127 *       127 *      2112 * 0.0001142 * -0.112477 * -0.923848 * 0.3658588 * -355.8189 *       750 * 701.95857 * 0.9238485 * 22.504640 * 107.08919 *
*      128 *       128 *      2112 * 0.0003687 * -0.151328 * -0.030008 * -0.988027 * 347.67606 *       750 * -281.1821 * 0.0300087 * 88.280365 * 261.29211 *
*      129 *       129 *      2112 * 0.0002886 * 0.3115753 * -0.949185 * 0.0443678 * -106.2483 *       750 * -745.0717 * 0.9491850 * 18.343816 * 8.1043516 *
*      130 *       130 *      2112 * 0.0003929 * -0.007809 * -0.781662 * 0.6236522 * 658.61592 *       750 * -593.0890 * 0.7816629 * 38.586915 * 90.717433 *
*      131 *       131 *      2112 * 15.114471 * -0.010537 * -0.868080 * -0.496311 * -542.9286 *       750 * 627.99375 * 0.8680805 * 29.763652 * 268.78372 *
*      132 *       132 *      2112 * 0.0007455 * -0.474564 * -0.803693 * 0.3589795 * -1.169886 *       750 * 79.418851 * 0.8036931 * 36.515766 * 142.89465 *
*      133 *       133 *      2112 * 0.0051460 * 0.0970720 * -0.940824 * -0.324693 * -340.5445 *       750 * -640.2083 * 0.9408246 * 19.809495 * 286.64481 *
*      134 *       134 *      2112 * 0.0002192 * 0.8555592 * -0.159594 * -0.492491 * -169.9469 *       750 * 203.72457 * 0.1595949 * 80.816615 * 330.07368 *
*      135 *       135 *      2112 * 0.0003424 * 0.9502709 * -0.057943 * -0.305986 * 278.62565 *       750 * -307.1783 * 0.0579430 * 86.678249 * 342.15147 *
*      136 *       136 *      2112 * 0.0076523 * -0.200559 * -0.693306 * 0.6921718 * -433.0775 *       750 * 210.79910 * 0.6933066 * 46.107566 * 106.15911 *
*      137 *       137 *      2112 * 0.0005171 * -0.876561 * 0.1108288 * 0.4683549 * 722.07492 *       750 * -620.1101 * -0.110828 * 96.363099 * 151.88400 *
*      138 *       138 *      2112 * 0.0001640 * 0.4156313 * -0.764408 * 0.4928801 * 396.30243 *       750 * 241.87011 * 0.7644081 * 40.145636 * 49.860043 *
*      139 *       139 *      2112 * 0.0008430 * 0.5542178 * -0.828336 * -0.081860 * -422.6727 *       750 * 652.88073 * 0.8283364 * 34.071766 * 351.59787 *
*      140 *       140 *      2112 * 1.6100630 * -0.130775 * -0.954450 * 0.2681829 * -482.2764 *       750 * -249.6418 * 0.9544505 * 17.359682 * 115.99542 *
*      141 *       141 *      2112 * 0.1653753 * 0.2791970 * -0.776506 * -0.564877 * -209.9172 *       750 * 474.90313 * 0.7765062 * 39.058208 * 296.30137 *
*      142 *       142 *      2112 * 0.2593501 * -0.822969 * -0.537525 * -0.183812 * 650.43615 *       750 * 263.19705 * 0.5375258 * 57.484627 * 192.59055 *
*      143 *       143 *      2112 * 0.0306041 * 0.4643388 * -0.882510 * -0.074596 * 306.10023 *       750 * -677.0314 * 0.8825104 * 28.053302 * 350.87332 *
*      144 *       144 *      2112 * 0.0139626 * -0.059303 * -0.997629 * 0.0349153 * 666.63515 *       750 * -54.51717 * 0.9976291 * 3.9461522 * 149.51249 *
*      145 *       145 *      2112 * 0.0007634 * -0.337155 * -0.255698 * 0.9060599 * 102.62679 *       750 * -212.7919 * 0.2556987 * 75.185005 * 110.41080 *
*      146 *       146 *      2112 * 20.801299 * 0.9388998 * -0.240294 * -0.246425 * -93.42654 *       750 * -230.1934 * 0.2402940 * 76.096102 * 345.29370 *
*      147 *       147 *      2112 * 0.0004978 * 0.6326221 * -0.568772 * 0.5256306 * 661.74403 *       750 * 67.756067 * 0.5687720 * 55.335359 * 39.722385 *
*      148 *       148 *      2112 * 0.0003145 * 0.7452088 * -0.627688 * -0.225101 * -162.1047 *       750 * 112.33016 * 0.6276886 * 51.120201 * 343.19224 *
*      149 *       149 *      2112 * 0.0043121 * -0.267914 * -0.960144 * -0.079653 * -31.43350 *       750 * -554.4399 * 0.9601441 * 16.230678 * 196.55775 *
*      150 *       150 *      2112 * 0.0001024 * -0.914753 * -0.253730 * 0.3143991 * -130.9265 *       750 * -398.1323 * 0.2537303 * 75.301632 * 161.03224 *
*      151 *       151 *      2112 * 0.0129231 * 0.8062087 * -0.494237 * 0.3252020 * -588.7049 *       750 * 180.90833 * 0.4942378 * 60.380494 * 21.967770 *
